food_id	food_name	Protein	Lipid	Carbohydrate	Energy
25040	Snacks, vegetable chips, made from garden vegetables	5.32	23.3	60.43	473
25045	Formulated bar, high fiber, chewy, oats and chocolate	5.0	10.0	69.82	389
25046	Snacks, bagel chips, plain	12.34	15.14	66.36	451
25048	Snacks, NUTRI-GRAIN FRUIT AND NUT BAR	9.38	10.93	66.72	403
25051	Snacks, CLIF BAR, mixed flavors	14.71	5.88	65.44	346
25052	Snacks, granola bar, QUAKER, chewy, 90 Calorie Bar	4.17	8.33	79.17	408
25053	Snacks, granola bar, GENERAL MILLS NATURE VALLEY, SWEET&SALTY NUT, peanut	9.14	22.86	61.14	487
25054	Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, with yogurt coating	5.71	11.43	74.29	423
25055	Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, CHEWY TRAIL MIX	5.71	11.43	72.27	415
25056	Snacks, granola bar, QUAKER, DIPPS, all flavors	7.52	20.42	64.96	480
25059	Snacks, brown rice chips	8.2	2.8	81.5	384
25060	Snack, Pretzel, hard chocolate coated	7.05	17.64	70.07	467
25063	Snacks, potato chips, made from dried potatoes (preformed), multigrain	5.3	24.74	65.34	505
8680	Cereals, oats, instant, fortified, maple and brown sugar, dry	9.25	4.73	76.67	386
25064	Snacks, potato chips, lightly salted	6.72	35.39	53.54	560
25065	Snacks, Pretzels, gluten- free made with cornstarch and potato flour	3.52	6.67	78.62	389
25066	Snacks, peas, roasted, wasabi-flavored	14.11	14.11	62.2	432
25067	Formulated Bar, SOUTH BEACH protein bar	30.34	15.17	38.4	412
25068	Snack, BALANCE, original bar	28.0	12.0	48.73	415
25070	Snacks, shrimp cracker	7.14	17.86	59.09	426
25071	Rice crackers	10.0	5.0	82.64	416
17002	"Lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4"" fat, choice, cooked"	24.52	20.94	0.0	294
17024	"Lamb, loin, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled"	25.17	23.08	0.0	316
17027	"Lamb, loin, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled"	29.99	9.73	0.0	216
17038	"Lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted"	22.51	19.97	0.0	276
17042	"Lamb, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted"	24.94	10.77	0.0	204
17060	"Lamb, cubed for stew or kabob (leg and shoulder), separable lean only, trimmed to 1/4"" fat, cooked, braised"	33.69	8.8	0.0	223
17089	Veal, composite of trimmed retail cuts, separable lean and fat, cooked	30.1	11.39	0.0	231
17094	Veal, leg (top round), separable lean and fat, raw	20.98	3.08	0.0	117
17095	Veal, leg (top round), separable lean and fat, cooked, braised	36.16	6.33	0.0	211
17098	Veal, leg (top round), separable lean and fat, cooked, roasted	27.7	4.65	0.0	160
17104	Veal, loin, separable lean and fat, raw	20.07	10.07	0.07	177
17106	Veal, loin, separable lean and fat, cooked, roasted	24.8	12.32	0.0	217
17134	Veal, sirloin, separable lean and fat, raw	19.07	7.81	0.0	152
17136	Veal, sirloin, separable lean and fat, cooked, roasted	25.14	10.45	0.0	202
17147	Game meat, bear, cooked, simmered	32.42	13.39	0.0	259
17148	Bison, ground, grass-fed, cooked	25.45	8.62	0.0	179
17151	Game meat, beaver, cooked, roasted	34.85	6.96	0.0	212
17159	Game meat, boar, wild, cooked, roasted	28.3	4.38	0.0	160
17163	Game meat, caribou, cooked, roasted	29.77	4.42	0.0	167
17169	Game meat, goat, cooked, roasted	27.1	3.03	0.0	143
17173	Game meat, moose, cooked, roasted	29.27	0.97	0.0	134
17176	Game meat, opossum, cooked, roasted	30.2	10.2	0.0	221
17179	Game meat, rabbit, domesticated, composite of cuts, cooked, stewed	30.38	8.41	0.0	206
17182	Game meat, raccoon, cooked, roasted	29.2	14.5	0.0	255
17184	Game meat, squirrel, cooked, roasted	30.77	4.69	0.0	173
9003	Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)	0.26	0.17	13.81	52
9004	Apples, raw, without skin	0.27	0.13	12.76	48
9011	Apples, dried, sulfured, uncooked	0.93	0.32	65.89	243
9016	Apple juice, canned or bottled, unsweetened, without added ascorbic acid	0.1	0.13	11.3	46
9017	Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid	0.51	0.37	41.0	166
9019	Applesauce, canned, unsweetened, without added ascorbic acid (Includes foods for USDA's Food Distribution Program)	0.17	0.1	11.27	42
9020	Applesauce, canned, sweetened, without salt	0.16	0.17	17.49	68
9021	Apricots, raw	1.4	0.39	11.12	48
9022	Apricots, canned, water pack, with skin, solids and liquids	0.71	0.16	6.39	27
17219	Veal, variety meats and by-products, thymus, cooked, braised	22.67	3.11	0.0	125
17224	Lamb, ground, raw	16.56	23.41	0.0	282
17225	Lamb, ground, cooked, broiled	24.75	19.65	0.0	283
9032	Apricots, dried, sulfured, uncooked	3.39	0.51	62.64	241
9036	Apricot nectar, canned, with added ascorbic acid	0.17	0.45	13.63	56
9037	Avocados, raw, all commercial varieties	2.0	14.66	8.53	160
9040	Bananas, ripe and slightly ripe, raw	0.74	0.29	23.0	98
9041	Bananas, dehydrated, or banana powder	3.89	1.81	88.28	346
9042	Blackberries, raw	1.39	0.49	9.61	43
9043	Blackberry juice, canned	0.3	0.6	7.8	38
9044	Cherries, tart, dried, sweetened (Includes foods for USDA's Food Distribution Program)	1.25	0.73	80.45	333
9048	Blackberries, frozen, unsweetened	1.18	0.43	15.67	64
9050	Blueberries, raw	0.74	0.33	14.49	57
9054	Blueberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)	0.42	0.64	12.17	51
9059	Breadfruit, raw	1.07	0.23	27.12	103
9060	Carambola, (starfruit), raw	1.04	0.33	6.73	31
9064	Cherries, sour, red, canned, water pack, solids and liquids	0.77	0.1	8.94	36
9070	Cherries, sweet, raw	1.06	0.2	16.01	63
9071	Cherries, sweet, canned, water pack, solids and liquids	0.77	0.13	11.76	46
9078	Cranberries, raw	0.46	0.13	11.97	46
9079	Cranberries, dried, sweetened (Includes foods for USDA's Food Distribution Program)	0.17	1.09	82.8	308
9081	Cranberry sauce, canned, sweetened	0.9	0.15	40.4	159
9085	Currants, zante, dried	3.43	0.22	76.98	290
9087	Dates, deglet noor	2.45	0.39	75.03	282
9089	Figs, raw	0.75	0.3	19.18	74
9094	Figs, dried, uncooked	3.3	0.92	63.9	277
9096	Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids	0.42	0.05	8.51	32
9112	Grapefruit, raw, pink and red, all areas	0.77	0.14	10.66	42
9119	Grapefruit, sections, canned, water pack, solids and liquids	0.58	0.1	9.15	36
9123	Grapefruit juice, white, canned or bottled, unsweetened	0.55	0.7	7.59	39
9125	Grapefruit juice, white, frozen concentrate, unsweetened, undiluted	1.97	0.48	34.56	146
9127	Grapefruit juice, pink or red, with added calcium	0.51	0.68	7.74	39
9128	Grapefruit juice, white, raw	0.5	0.1	9.2	39
9130	Grape juice, purple, with added vitamin C, from concentrate, shelf stable	0.26	0.29	15.62	66
9132	Grapes, red or green (European type, such as Thompson seedless), raw	0.72	0.16	18.1	69
9135	Grape juice, canned or bottled, unsweetened, without added ascorbic acid	0.37	0.13	14.77	60
9139	Guavas, common, raw	2.55	0.95	14.32	68
9143	Guava sauce, cooked	0.32	0.14	9.48	36
9148	Kiwifruit, green, raw	1.06	0.44	14.0	64
9149	Kumquats, raw	1.88	0.86	15.9	71
9150	Lemons, raw, without peel	1.1	0.3	9.32	29
17343	Game meat, deer, ground, raw	21.78	7.13	0.0	157
9152	Lemon juice, raw	0.35	0.24	6.9	22
17345	"Game meat, deer, loin, separable lean only, 1"" steak, cooked, broiled"	30.2	2.38	0.0	150
17346	Game meat, deer, shoulder clod, separable lean only, cooked, braised	36.28	3.95	0.0	191
9153	Lemon juice from concentrate, canned or bottled	0.45	0.07	5.62	17
9156	Lemon peel, raw	1.5	0.3	16.0	47
17344	Game meat, deer, ground, cooked, pan-broiled	26.45	8.22	0.0	187
9159	Limes, raw	0.7	0.2	10.54	30
9160	Lime juice, raw	0.42	0.07	8.42	25
9161	Lime juice, canned or bottled, unsweetened	0.25	0.23	6.69	21
9163	Blueberries, dried, sweetened	2.5	2.5	80.0	317
9164	Litchis, raw	0.83	0.44	16.53	66
9176	Mangos, raw	0.82	0.38	14.98	60
9178	Mango, dried, sweetened	2.45	1.18	78.58	319
9181	Melons, cantaloupe, raw	0.82	0.18	8.16	38
9184	Melons, honeydew, raw	0.54	0.14	9.09	36
9191	Nectarines, raw	1.06	0.28	9.18	43
1001	Butter, stick, salted	0.85	82.2	0.06	743
1002	Butter, whipped, with salt	0.49	78.3	0.0	731
1003	Butter oil, anhydrous	0.28	99.48	0.0	876
1004	Cheese, blue	21.4	28.74	2.34	353
1005	Cheese, brick	23.24	29.68	2.79	371
1006	Cheese, brie	20.75	27.68	0.45	334
1007	Cheese, camembert	19.8	24.26	0.46	300
9193	Olives, ripe, canned (small-extra large)	0.84	10.9	6.04	116
1009	Cheese, cheddar	23.3	34.0	2.44	409
9202	Oranges, raw, navels	0.91	0.15	11.8	52
1011	Cheese, colby	23.76	32.11	2.57	394
1012	Cheese, cottage, creamed, large or small curd	11.12	4.3	3.38	98
9200	Oranges, raw, all commercial varieties	0.94	0.12	11.75	47
1014	Cheese, cottage, nonfat, uncreamed, dry, large or small curd	10.34	0.29	6.66	72
1015	Cheese, cottage, lowfat, 2% milkfat	11.0	2.3	4.31	82
1016	Cheese, cottage, lowfat, 1% milkfat	12.39	1.02	2.72	72
1017	Cheese, cream	6.15	34.44	5.52	350
9206	Orange juice, no pulp, not fortified, not from concentrate, refrigerated	0.81	0.36	10.01	47
1019	Cheese, feta	14.21	21.49	3.88	265
1020	Cheese, fontina	25.6	31.14	1.55	389
9209	Orange juice, no pulp, not fortified, from concentrate, refrigerated	0.73	0.32	10.34	47
1022	Cheese, gouda	24.94	27.44	2.22	356
1023	Cheese, gruyere	29.81	32.34	0.36	413
1024	Cheese, limburger	20.05	27.25	0.49	327
1025	Cheese, monterey	24.48	30.28	0.68	373
9213	Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium	2.4	0.25	33.86	147
9214	Orange juice, frozen concentrate, unsweetened, undiluted	2.4	0.25	35.19	148
9218	Tangerines, (mandarin oranges), raw	0.81	0.31	13.34	53
1029	Cheese, mozzarella, low moisture, part-skim	23.7	20.4	4.44	296
1030	Cheese, muenster	23.41	30.04	1.12	368
9219	Tangerines, (mandarin oranges), canned, juice pack	0.62	0.03	9.57	37
1032	Cheese, parmesan, grated	29.6	28.0	12.4	420
9221	Tangerine juice, raw	0.5	0.2	10.1	43
9226	Papayas, raw	0.47	0.26	10.82	43
1035	Cheese, provolone	25.58	26.62	2.14	351
1036	Cheese, ricotta, whole milk	7.81	11.0	6.86	158
1037	Cheese, ricotta, part skim milk	11.39	7.91	5.14	138
9229	Papaya nectar, canned	0.17	0.15	14.51	57
9231	Passion-fruit, (granadilla), purple, raw	2.2	0.7	23.38	97
1040	Cheese, swiss	27.0	31.0	1.44	393
9232	Passion-fruit juice, purple, raw	0.39	0.05	13.6	51
1042	Cheese, pasteurized process, American, vitamin D fortified	18.0	30.6	5.27	368
17424	Veal, ground, cooked, pan-fried	25.83	11.78	1.51	215
9236	Peaches, yellow, raw	0.91	0.27	10.1	46
9237	Peaches, canned, water pack, solids and liquids	0.44	0.06	6.11	24
17427	Veal, loin, chop, separable lean only, cooked, grilled	29.75	4.44	0.07	159
1048	Cheese spread, pasteurized process, American	16.41	21.23	8.73	290
1049	Cream, fluid, half and half	3.13	11.5	4.3	131
1050	Cream, fluid, light (coffee cream or table cream)	2.96	19.1	3.66	195
1053	Cream, fluid, heavy whipping	2.84	36.08	2.84	340
1054	Cream, whipped, cream topping, pressurized	3.2	22.22	12.49	257
9246	Peaches, dried, sulfured, uncooked	3.61	0.76	61.33	239
1056	Cream, sour, cultured	2.44	19.35	4.63	198
1057	Eggnog	4.55	4.19	8.05	88
9251	Peach nectar, canned, with sucralose, without added ascorbic acid	0.1	0.57	11.61	49
9252	Pears, raw	0.36	0.14	15.23	57
1061	Cheese, American, nonfat or fat free	21.05	0.0	10.53	126
1062	Cheese, American, restaurant	17.5	31.1	6.35	375
9253	Pears, canned, water pack, solids and liquids	0.19	0.03	7.81	29
1067	Cream substitute, liquid, with hydrogenated vegetable oil and soy protein	1.0	9.97	11.38	136
9259	Pears, dried, sulfured, uncooked	1.87	0.63	69.7	262
1069	Cream substitute, powdered	2.48	32.92	59.29	529
9262	Pear nectar, canned, without added ascorbic acid	0.11	0.01	15.76	60
9263	Persimmons, japanese, raw	0.58	0.19	18.59	70
1073	Dessert topping, semi solid, frozen	1.25	25.31	23.05	318
1074	Sour cream, imitation, cultured	2.4	19.52	6.63	208
9266	Pineapple, raw, all varieties	0.54	0.12	13.12	50
9267	Pineapple, canned, water pack, solids and liquids	0.43	0.09	8.3	32
1077	Milk, whole, 3.25% milkfat, with added vitamin D	3.27	3.2	4.63	61
1079	Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D	3.36	1.9	4.9	50
42040	Syrups, grenadine	0.0	0.0	66.91	268
9273	Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid	0.36	0.12	12.87	53
1082	Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D	3.38	0.95	5.18	43
1085	Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)	3.43	0.08	4.92	34
9277	Plantains, yellow, raw	1.3	0.35	31.89	122
9279	Plums, raw	0.7	0.28	11.42	46
1088	Milk, buttermilk, fluid, cultured, lowfat	3.31	1.07	4.79	40
1090	Milk, dry, whole, with added vitamin D	26.32	26.71	38.42	496
1091	Milk, dry, nonfat, regular, without added vitamin A and vitamin D	36.16	0.77	51.98	362
1094	Milk, buttermilk, dried	34.3	5.78	49.0	387
1095	Milk, canned, condensed, sweetened	7.91	8.7	54.4	321
1096	Milk, canned, evaporated, with added vitamin D and without added vitamin A	6.81	7.56	10.04	134
1097	Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D	7.55	0.2	11.35	78
9286	Pomegranates, raw	1.67	1.17	18.7	83
9291	Plums, dried (prunes), uncooked	2.18	0.38	63.88	240
33863	Infant Formula, MEAD JOHNSON, ENFAMIL, Premium LIPIL, Infant, powder	10.8	27.0	57.0	510
33866	Infant formula, MEAD JOHNSON, ENFAMIL, ENFAGROW, GENTLEASE, Toddler, LIPIL, powder	12.9	26.0	52.0	494
1102	Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D	3.17	3.39	10.34	83
1103	Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D	2.99	1.9	12.13	76
1104	Milk, chocolate, lowfat, with added vitamin A and vitamin D	3.46	1.11	10.15	64
9294	Prune juice, canned	0.61	0.03	17.45	71
1106	Milk, goat, fluid, with added vitamin D	3.56	4.14	4.45	69
1107	Milk, human, mature, fluid (For Reference Only)	1.03	4.38	6.89	70
9298	Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)	3.3	0.25	79.32	299
33871	Infant formula, ABBOTT NUTRITION, SIMILAC, GO AND GROW, powder, with ARA and DHA	15.36	27.65	52.2	512
9302	Raspberries, raw	1.2	0.65	11.94	52
33873	Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, AA LIPIL, powder, not reconstituted	14.0	26.0	51.0	500
1113	Whey, acid, dried	11.73	0.54	73.45	339
1115	Whey, sweet, dried	12.93	1.07	74.46	353
1116	Yogurt, plain, whole milk	3.47	3.25	4.66	61
1117	Yogurt, plain, low fat	5.25	1.55	7.04	63
1118	Yogurt, plain, skim milk	5.73	0.18	7.68	56
9307	Rhubarb, raw	0.9	0.2	4.54	21
1123	Eggs, Grade A, Large, egg whole	12.4	9.96	0.96	143
1124	Eggs, Grade A, Large, egg white	10.7	0.0	2.36	52
1125	Eggs, Grade A, Large, egg yolk	16.2	28.8	1.02	328
9316	Strawberries, raw	0.64	0.22	7.63	35
9317	Strawberries, canned, heavy syrup pack, solids and liquids	0.56	0.26	23.53	92
9318	Strawberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)	0.43	0.11	9.13	35
1129	Egg, whole, cooked, hard-boiled	12.58	10.61	1.12	155
9322	Tamarinds, raw	2.8	0.6	62.5	239
1133	Egg, whole, dried	48.1	39.8	1.87	558
9326	Watermelon, raw	0.61	0.15	7.55	30
9328	Maraschino cherries, canned, drained	0.22	0.21	41.97	165
1138	Egg, duck, whole, fresh, raw	12.81	13.77	1.45	185
1139	Egg, goose, whole, fresh, raw	13.87	13.27	1.35	185
1140	Egg, quail, whole, fresh, raw	13.05	11.09	0.41	158
1145	Butter, stick, unsalted	0.85	82.2	0.06	743
9340	Pears, asian, raw	0.5	0.23	10.65	42
1151	Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)	3.37	0.18	4.86	35
1154	Milk, dry, nonfat, regular, with added vitamin A and vitamin D	36.16	0.77	51.98	362
42116	Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie	1.5	14.0	7.0	160
1157	Cheese, goat, semisoft type	21.58	29.84	0.12	364
42117	Imitation cheese, american or cheddar, low cholesterol	25.0	32.0	1.0	390
9352	Blueberries, canned, light syrup, drained	1.04	0.4	22.66	88
1164	Cheese sauce, prepared from recipe	10.33	14.92	5.48	197
1165	Cheese, mexican, queso anejo	21.44	29.98	4.63	373
1166	Cheese, mexican, queso asadero	22.6	28.26	2.87	356
42128	Turkey ham, sliced, extra lean, prepackaged or deli-sliced	19.6	3.8	2.93	124
1169	Cheese, low-sodium, cheddar or colby	24.35	32.62	1.91	398
42135	Whipped topping, frozen, low fat	3.0	13.1	23.6	224
42136	Cream substitute, powdered, light	1.9	15.7	73.4	431
1179	Sour cream, light	3.5	10.6	7.1	136
1180	Sour cream, fat free	3.1	0.0	15.6	74
42139	Granola bar, soft, milk chocolate coated, peanut butter	9.6	31.2	54.1	536
42140	Salad dressing, italian dressing, reduced calorie	0.3	20.0	6.7	200
42141	Cream substitute, liquid, light	0.8	3.5	9.1	71
1185	Parmesan cheese topping, fat free	40.0	5.0	40.0	370
1186	Cheese, cream, fat free	15.69	1.0	7.66	105
42155	Cheese, monterey, low fat	28.2	21.6	0.7	313
42157	Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free	1.4	2.7	20.0	107
1199	Cream, half and half, fat free	2.6	1.4	9.0	59
42161	Bologna, beef, low fat	11.8	14.8	5.2	204
1205	Cream substitute, flavored, liquid	0.69	13.5	35.07	251
1206	Cream substitute, flavored, powdered	0.68	21.47	75.42	482
1208	Cheese, provolone, reduced fat	24.7	17.6	3.5	274
1209	Cheese, Mexican, blend, reduced fat	24.69	19.4	3.41	282
9400	Apple juice, with added vitamin C, from concentrate, shelf stable	0.09	0.29	11.36	48
1211	Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D	3.15	3.27	4.78	61
42173	Sausage, turkey and pork, fresh, bulk, patty or link, cooked	22.7	23.0	0.7	307
1215	Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D	17.6	14.1	10.6	240
9409	Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid	0.36	0.12	12.87	53
9412	Pears, raw, bartlett	0.38	0.16	15.1	63
1223	Protein supplement, milk based, Muscle Milk, powder	45.71	17.14	18.5	411
1224	Protein supplement, milk based, Muscle Milk Light, powder	50.0	12.0	22.0	396
1225	Dulce de Leche	6.84	7.35	55.35	315
1226	Egg substitute, liquid or frozen, fat free	10.0	0.0	2.0	48
1227	Cheese, dry white, queso seco	24.5	24.3	2.07	325
1228	Cheese, fresh, queso fresco	18.09	23.82	2.98	299
42186	Frozen yogurts, chocolate	3.0	3.6	21.6	131
1230	Milk, buttermilk, fluid, whole	3.21	3.31	4.88	62
42187	Frozen yogurts, flavors other than chocolate	3.0	3.6	21.6	127
42192	Salad dressing, blue or roquefort cheese dressing, fat-free	1.52	1.01	25.6	115
42193	Salad Dressing, mayonnaise-like, fat-free	0.2	2.7	15.5	84
9426	Candied fruit	0.34	0.07	82.74	322
1237	Ice cream, bar or stick, chocolate covered	4.1	24.1	24.5	331
1240	Ice cream cone, chocolate covered, with nuts, flavors other than chocolate	5.21	21.88	34.38	354
42200	Papad	25.56	3.25	59.87	371
9434	Guanabana nectar, canned	0.11	0.17	14.93	59
9436	Mango nectar, canned	0.11	0.06	13.12	51
42204	Rice cake, cracker (include hain mini rice cakes)	7.1	4.3	81.1	392
1250	Nutritional supplement for people with diabetes, liquid	4.4	3.08	11.88	88
1251	Cheese, Mexican blend	23.54	28.51	1.75	358
1252	Cheese product, pasteurized process, American, vitamin D fortified	16.09	23.06	8.85	307
1253	Cheese, pasteurized process, American, without added vitamin D	18.13	31.79	3.7	371
9442	Pomegranate juice, bottled	0.15	0.29	13.13	54
9443	Juice, apple and grape blend, with added ascorbic acid	0.16	0.12	12.46	50
1256	Yogurt, Greek, plain, nonfat	10.3	0.37	3.64	59
1259	Cheese spread, American or Cheddar cheese base, reduced fat	13.41	8.88	10.71	176
1260	Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)	27.35	20.41	2.67	316
1264	Ice cream bar, stick or nugget, with crunch coating	2.11	25.26	37.12	358
1265	Cheese, cheddar, nonfat or fat free	32.14	0.0	7.14	157
1266	Cheese, Swiss, nonfat or fat free	28.4	0.0	3.4	127
1267	Cheese, mexican, queso cotija	20.0	30.0	3.97	366
42230	Salad Dressing, coleslaw, reduced fat	0.0	20.0	40.0	329
42231	Oil, flaxseed, cold pressed	0.11	99.98	0.0	884
1284	Yogurt, Greek, strawberry, lowfat	8.17	2.57	12.29	105
1285	Yogurt, Greek, strawberry, nonfat	8.06	0.15	12.2	82
1286	Yogurt, Greek, vanilla, nonfat	8.64	0.18	10.37	78
1287	Yogurt, Greek, plain, lowfat	9.95	1.92	3.94	73
1289	Kefir, lowfat, plain, LIFEWAY	3.79	1.02	4.77	43
1290	Kefir, lowfat, strawberry, LIFEWAY	3.39	0.9	10.2	62
1292	Milk, chocolate, fat free, with added vitamin A and vitamin D	3.39	0.0	13.46	67
1293	Yogurt, Greek, plain, whole milk	9.0	5.0	3.98	97
1294	Yogurt, Greek, fruit, whole milk	7.33	3.0	12.29	106
1297	Yogurt, Greek, vanilla, lowfat	8.64	2.5	9.54	95
42259	Snacks, popcorn, home-prepared, oil-popped, unsalted	9.0	28.1	58.1	500
1302	Light ice cream, Creamsicle	1.54	3.08	32.75	165
1305	Milk, chocolate, lowfat, reduced sugar	3.43	1.04	7.68	57
42266	Babyfood, juice, apple-sweet potato	0.3	0.1	11.4	47
9500	Apples, red delicious, with skin, raw	0.19	0.21	14.78	62
9501	Apples, honeycrisp, with skin, raw	0.1	0.1	14.68	60
9502	Apples, granny smith, with skin, raw	0.27	0.14	14.14	59
9503	Apples, gala, with skin, raw	0.13	0.15	14.77	61
9504	Apples, fuji, with skin, raw	0.15	0.16	15.65	65
42272	Snacks, granola bar, with coconut, chocolate coated	5.2	32.2	55.2	531
9508	Fruit juice smoothie, NAKED JUICE, GREEN MACHINE	0.6	0.26	12.53	53
9512	Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium	0.37	0.13	14.77	62
42280	Frankfurter, meat and poultry, low fat	15.5	2.8	8.4	121
42283	Snacks, potato chips, white, restructured, baked	5.0	18.2	71.4	469
42284	Babyfood, baked product, finger snacks cereal fortified	6.4	9.9	76.68	421
9517	Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium	0.12	0.17	11.49	48
9519	Guava nectar, with sucralose, canned	0.3	0.07	13.3	48
9522	Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium	0.27	0.12	10.91	45
9531	Fruit juice smoothie, NAKED JUICE, strawberry banana	0.48	0.27	11.66	50
9533	Olives, green, Manzanilla, stuffed with pimiento	1.15	12.9	4.96	141
42303	Cheese, muenster, low fat	24.7	17.6	3.5	271
42304	Cheese, mozzarella, nonfat	31.7	0.0	3.5	141
18001	Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)	10.56	1.32	52.38	264
18015	Biscuits, plain or buttermilk, refrigerated dough, higher fat, baked	6.79	11.22	49.05	324
18023	Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs	6.59	9.58	54.46	330
18027	Bread, egg	9.5	6.0	47.8	287
18029	Bread, french or vienna (includes sourdough)	10.75	2.42	51.88	272
18033	Bread, Italian	9.49	2.73	48.11	259
18039	Bread, oatmeal	8.4	4.4	48.5	269
18041	Bread, pita, white, enriched	9.1	1.2	55.7	275
18042	Bread, pita, whole-wheat	9.8	1.71	55.89	262
18043	Bread, protein (includes gluten)	12.1	2.2	43.8	245
18044	Bread, pumpernickel	8.7	3.1	47.5	250
18057	Bread, reduced-calorie, white	8.7	2.5	44.3	207
18060	Bread, rye	8.5	3.3	48.3	259
18064	Bread, wheat	10.67	4.53	47.54	274
18069	Bread, white, commercially prepared	9.43	3.59	49.2	267
18075	Bread, whole-wheat, commercially prepared	12.3	3.55	43.1	254
18079	Bread, crumbs, dry, grated, plain	13.35	5.3	71.98	395
18080	Bread, sticks, plain	12.0	9.5	68.4	412
