	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS
	44.0	Asparagine de novo synthesis (minimal substrates, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							asparagine[e]	1.0									
	45.0	Aspartate de novo synthesis (minimal substrates, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							aspartate[c]	1.0									
	46.0	Glutamate de novo synthesis (minimal substrates, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							glutamate[e]	1.0									
	47.0	Glycine de novo synthesis (minimal substrates, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							glycine[e]	1.0									
	48.0	Glutamine de novo synthesis (minimal substrates, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							glutamine[e]	1.0									
	49.0	Proline de novo synthesis (minimal substrates, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							proline[e]	1.0									
	50.0	Serine de novo synthesis (minimal substrates, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							serine[e]	1.0									
	51.0	Histidine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							histidine[c]	1.0									
	52.0	Histidine uptake		histidine[e]	1.0	1.0	histidine[c]	1.0									
	53.0	Isoleucine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							isoleucine[c]	1.0									
	54.0	Isoleucine uptake		isoleucine[e]	1.0	1.0	isoleucine[c]	1.0									
	55.0	Leucine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							leucine[c]	1.0									
	56.0	Leucine uptake		leucine[e]	1.0	1.0	leucine[c]	1.0									
	57.0	Lysine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							lysine[c]	1.0									
	58.0	Lysine uptake		lysine[e]	1.0	1.0	lysine[c]	1.0									
	59.0	Methionine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							methionine[c]	1.0									
	60.0	Methionine uptake		methionine[e]	1.0	1.0	methionine[c]	1.0									
	61.0	Phenylalanine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							phenylalanine[c]	1.0									
	62.0	Phenylalanine uptake		phenylalanine[e]	1.0	1.0	phenylalanine[c]	1.0									
	63.0	Threonine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							threonine[c]	1.0									
	64.0	Threonine uptake		threonine[e]	1.0	1.0	threonine[c]	1.0									
	65.0	Tryptophan de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							tryptophan[c]	1.0									
	66.0	Tryptophan uptake		tryptophan[e]	1.0	1.0	tryptophan[c]	1.0									
	67.0	Valine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							valine[c]	1.0									
	68.0	Valine uptake		valine[e]	1.0	1.0	valine[c]	1.0									
	69.0	Cysteine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e];sulfate[e]			H2O[e];CO2[e]										
							cysteine[e]	1.0									
	70.0	Cysteine de novo synthesis (minimal substrates and AA, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e];sulfate[e];histidine[e];isoleucine[e];leucine[e];lysine[e];methionine[e];phenylalanine[e];threonine[e];tryptophan[e]			H2O[e];CO2[e]										
							cysteine[e]	1.0									
	71.0	Cystine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e];sulfite[e]			H2O[e];CO2[e]										
							cystine[e]	1.0									
	72.0	Tyrosine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							tyrosine[e]	1.0									
	73.0	Tyrosine de novo synthesis (minimal substrates with AA, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e];sulfate[e];histidine[e];isoleucine[e];leucine[e];lysine[e];methionine[e];phenylalanine[e];threonine[e];tryptophan[e]			H2O[e];CO2[e]										
							tyrosine[e]	1.0									
	74.0	Homocysteine de novo synthesis (minimal substrates, minimal excretion)	1.0	O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							homocysteine[c]	1.0									
	75.0	Homocysteine de novo synthesis (minimal substrates with AA, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e];sulfate[e];histidine[e];isoleucine[e];leucine[e];lysine[e];methionine[e];phenylalanine[e];threonine[e];tryptophan[e]			H2O[e];CO2[e]										
							homocysteine[c]	1.0									
	76.0	beta-Alanine de novo synthesis (minimal substrates, minimal excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							beta-alanine[e]	1.0									
	77.0	Alanine degradation		alanine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	78.0	Arginine degradation		arginine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	79.0	Asparagine degradation		asparagine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	80.0	Aspartate degradation		aspartate[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	81.0	Cysteine degradation		cysteine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e];H2S[e]										
	82.0	Glutamate degradation		glutamate[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	83.0	Glycine degradation		glycine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	84.0	Histidine degradation		histidine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	85.0	Isoleucine degradation		isoleucine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	86.0	Glutamine degradation		glutamine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	87.0	Leucine degradation		leucine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	88.0	Lysine degradation		lysine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	89.0	Methionine degradation		methionine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e];H2S[e]										
	90.0	Phenylalanine degradation		phenylalanine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	91.0	Proline degradation		proline[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	92.0	Serine degradation		serine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	93.0	Threonine degradation		threonine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	94.0	Tryptophan degradation		tryptophan[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	95.0	Tyrosine degradation		tyrosine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	96.0	Valine degradation		valine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	97.0	Homocysteine degradation		homocysteine[c];O2[e]		1.0	H2O[e];CO2[e];urea[e];H2S[e]										
	98.0	Ornithine degradation		ornithine[e]		1.0	urea[e]	1.0									
				O2[e]			H2O[e];CO2[e]										
	99.0	beta-Alanine degradation		beta-alanine[e];O2[e]		1.0	H2O[e];CO2[e];urea[e]										
	100.0	Urea from alanine		alanine[e]		2.0	H2O[e];CO2[e]										
				O2[e]			urea[e]	1.0									
	101.0	Urea from glutamine		glutamine[e]		1.0	H2O[e];CO2[e]										
				O2[e]			urea[e]	1.0									
	102.0	Creatine de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e]			H2O[e];CO2[e]										
							creatine[e]	1.0									
	103.0	Heme de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e];Fe2+[e]			H2O[e];CO2[e]										
							heme[e]	1.0									
	104.0	PC de novo synthesis (physiological substrates, physiological excretion)		O2[e];glucose[e];Pi[e];linoleate[e];linolenate[e];choline[e];isoleucine[c]			H2O[e];CO2[e];urea[e]										
							PC-LD pool[c]	1.0									
	105.0	PE de novo synthesis (physiological substrates, physiological excretion)		O2[e];glucose[e];Pi[e];linoleate[e];linolenate[e];ethanolamine[c]			H2O[e];CO2[e]										
							PE-LD pool[c]	1.0									
	106.0	PS de novo synthesis (physiological substrates, physiological excretion)		O2[e];glucose[e];Pi[e];linoleate[e];linolenate[e];choline[e]			H2O[e];CO2[e]										
							PS-LD pool[c]	1.0									
	107.0	PI de novo synthesis (physiological substrates, physiological excretion)		O2[e];glucose[e];Pi[e];linoleate[e];linolenate[e];inositol[e]			H2O[e];CO2[e]										
							PI pool[c]	1.0									
	108.0	Cardiolipin de novo synthesis (physiological substrates, physiological excretion)		O2[e];glucose[e];Pi[e];linoleate[e];linolenate[e];choline[e]			H2O[e];CO2[e]										
							CL pool[c]	1.0									
	109.0	SM de novo synthesis (physiological substrates, physiological excretion)		O2[e];glucose[e];Pi[e];linoleate[e];linolenate[e];choline[e]			H2O[e];CO2[e]										
							SM pool[c]	1.0									
	110.0	Ceramide de novo synthesis (physiological substrates, physiological excretion)		O2[e];glucose[e];Pi[e];linoleate[e];linolenate[e];choline[e]			H2O[e];CO2[e]										
							ceramide pool[c]	1.0									
	111.0	Lactosylceramide de novo synthesis (physiological substrates, physiological excretion)		O2[e];glucose[e];Pi[e];linoleate[e];linolenate[e];choline[e]			H2O[e];CO2[e]										
							LacCer pool[c]	1.0									
	112.0	CoA de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e];methionine[e];pantothenate[e]			CoA[c]	1.0									
							CO2[e];urea[e];H2O[e]										
	113.0	NAD de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e];nicotinamide[e]			NADH[c]	1.0									
							H2O[e];CO2[e]										
	114.0	NADP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e];nicotinamide[e]			NADPH[c]	1.0									
							H2O[e];CO2[e]										
	115.0	FAD de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];NH3[e];Pi[e];riboflavin[e]			FAD[c]	1.0									
							H2O[e];CO2[e]										
	116.0	Thioredoxin de novo synthesis (physiological substrates, physiological excretion)		O2[e];glucose[e];histidine[e];isoleucine[e];leucine[e];lysine[e];methionine[e];phenylalanine[e];threonine[e];tryptophan[e];valine[e]			H2O[e];CO2[e];urea[e];H2S[e]										
							thioredoxin[c]	1.0									
	117.0	THF de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];folate[e]			H2O[e];CO2[e]										
							THF[c]	1.0									
	118.0	Pyridoxal-P de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];Pi[e];pyridoxine[e]			H2O[e];CO2[e]										
							pyridoxal-phosphate[c]	1.0									
	119.0	Acetoacetate de novo synthesis and excretion		O2[e];glucose[e]			H2O[e];CO2[e]										
							acetoacetate[e]	1.0									
	120.0	(R)-3-Hydroxybutanoate de novo synthesis		O2[e];glucose[e]			H2O[e];CO2[e]										
							(R)-3-hydroxybutanoate[c]	1.0									
	121.0	Farnesyl-PP de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];phenylalanine[e];Pi[e]			H2O[e];CO2[e]										
							farnesyl-PP[c]	1.0									
	122.0	Lauric acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							lauric acid[c]	1.0									
	123.0	Tridecylic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];isoleucine[c]			CO2[e];H2O[e];urate[e]										
							tridecylic acid[c]	1.0									
	124.0	Myristic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							myristic acid[c]	1.0									
	125.0	9E-tetradecenoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							(9E)-tetradecenoic acid[c]	1.0									
	126.0	7Z-tetradecenoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							(7Z)-tetradecenoic acid[c]	1.0									
	127.0	Physeteric acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							physeteric acid[c]	1.0									
	128.0	Pentadecylic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];isoleucine[c]			CO2[e];H2O[e];urate[e]										
							pentadecylic acid[c]	1.0									
	129.0	Palmitate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							palmitate[c]	1.0									
	130.0	Palmitolate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							palmitolate[c]	1.0									
	131.0	7-palmitoleic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							7-palmitoleic acid[c]	1.0									
	132.0	Margaric acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];isoleucine[c]			CO2[e];H2O[e];urate[e]										
							margaric acid[c]	1.0									
	133.0	10Z-heptadecenoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];isoleucine[c]			CO2[e];H2O[e];urate[e]										
							(10Z)-heptadecenoic acid[c]	1.0									
	134.0	9-heptadecylenic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];isoleucine[c]			CO2[e];H2O[e];urate[e]										
							9-heptadecylenic acid[c]	1.0									
	135.0	Stearate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							stearate[c]	1.0									
	136.0	13Z-octadecenoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							(13Z)-octadecenoic acid[c]	1.0									
	137.0	cis-vaccenic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							cis-vaccenic acid[c]	1.0									
	138.0	Oleate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							oleate[c]	1.0									
	139.0	Elaidate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							elaidate[c]	1.0									
	140.0	7Z-octadecenoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							(7Z)-octadecenoic acid[c]	1.0									
	141.0	6Z,9Z-octadecadienoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							(6Z,9Z)-octadecadienoic acid[c]	1.0									
	142.0	Nonadecylic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];isoleucine[c]			CO2[e];H2O[e];urate[e]										
							nonadecylic acid[c]	1.0									
	143.0	Eicosanoate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							eicosanoate[c]	1.0									
	144.0	13Z-Eicosenoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							(13Z)-eicosenoic acid[c]	1.0									
	145.0	cis-gondoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							cis-gondoic acid[c]	1.0									
	146.0	9-Eicosenoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							9-eicosenoic acid[c]	1.0									
	147.0	8,11-Eicosadienoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							8,11-eicosadienoic acid[c]	1.0									
	148.0	Mead acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							mead acid[c]	1.0									
	149.0	Heneicosanoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];isoleucine[c]			CO2[e];H2O[e];urate[e]										
							heneicosanoic acid[c]	1.0									
	150.0	Behenic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							behenic acid[c]	1.0									
	151.0	cis-erucic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							cis-erucic acid[c]	1.0									
	152.0	cis-cetoleic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							cis-cetoleic acid[c]	1.0									
	153.0	Tricosanoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];isoleucine[c]			CO2[e];H2O[e];urate[e]										
							tricosanoic acid[c]	1.0									
	154.0	Lignocerate de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							lignocerate[c]	1.0									
	155.0	Nervonic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							nervonic acid[c]	1.0									
	156.0	Cerotic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							cerotic acid[c]	1.0									
	157.0	Ximenic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e]			CO2[e];H2O[e]										
							ximenic acid[c]	1.0									
	158.0	Linolenate de novo synthesis (minimal substrates, physiological excretion)	1.0	O2[e];glucose[e]			CO2[e];H2O[e]										
							linolenate[c]	1.0									
	159.0	Stearidonic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linolenate[e]			CO2[e];H2O[e]										
							stearidonic acid[c]	1.0									
	160.0	omega-3-Arachidonic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linolenate[e]			CO2[e];H2O[e]										
							omega-3-arachidonic acid[c]	1.0									
	161.0	EPA de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linolenate[e]			CO2[e];H2O[e]										
							EPA[c]	1.0									
	162.0	DPA de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linolenate[e]			CO2[e];H2O[e]										
							DPA[c]	1.0									
	163.0	9Z,12Z,15Z,18Z,21Z-TPA de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linolenate[e]			CO2[e];H2O[e]										
							(9Z,12Z,15Z,18Z,21Z)-TPA[c]	1.0									
	164.0	6Z,9Z,12Z,15Z,18Z,21Z-THA de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linolenate[e]			CO2[e];H2O[e]										
							(6Z,9Z,12Z,15Z,18Z,21Z)-THA[c]	1.0									
	165.0	DHA de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linolenate[e]			CO2[e];H2O[e]										
							DHA[c]	1.0									
	166.0	11Z,14Z,17Z-eicosatrienoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linolenate[e]			CO2[e];H2O[e]										
							(11Z,14Z,17Z)-eicosatrienoic acid[c]	1.0									
	167.0	13,16,19-docosatrienoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linolenate[e]			CO2[e];H2O[e]										
							13,16,19-docosatrienoic acid[c]	1.0									
	168.0	10,13,16,19-docosatetraenoic acid de novo synthesis (minimal substrates, physiological excretion)		O2[e];glucose[e];linolenate[e]			CO2[e];H2O[e]										
							10,13,16,19-docosatetraenoic acid[c]	1.0									
